Time,Open,High,Low,Last,Change,Volume
6/30/2020,97.42,97.8,97.23,97.39,-0.03,0
6/29/2020,97.46,97.64,97.11,97.42,-0.07,0
6/26/2020,97.38,97.68,97.25,97.49,0.11,0
6/25/2020,97.24,97.59,97.16,97.38,0.14,0
6/24/2020,96.63,97.25,96.55,97.24,0.61,0
6/23/2020,96.89,97.24,96.38,96.63,-0.26,0
6/22/2020,97.61,97.73,96.88,96.89,-0.77,0
6/19/2020,97.43,97.71,97.15,97.66,0.23,0
6/18/2020,97.07,97.58,96.95,97.43,0.36,0
6/17/2020,96.99,97.33,96.8,97.07,0.08,0
6/16/2020,96.54,97.25,96.43,96.99,0.45,0
6/15/2020,97.21,97.39,96.54,96.54,-0.54,0
6/12/2020,96.84,97.45,96.49,97.08,0.24,0
6/11/2020,96.15,96.84,95.95,96.84,0.69,0
6/10/2020,96.45,96.45,95.71,96.15,-0.3,0
6/9/2020,96.62,97.06,96.22,96.45,-0.17,0
6/8/2020,96.84,97.06,96.59,96.62,-0.33,0
6/5/2020,96.75,97.03,96.44,96.95,0.2,0
6/4/2020,97.32,97.63,96.57,96.75,-0.57,0
6/3/2020,97.57,97.62,97.18,97.32,-0.25,0
6/2/2020,97.87,97.9,97.43,97.57,-0.3,0
6/1/2020,98.23,98.32,97.78,97.87,-0.42,0
5/29/2020,98.48,98.54,97.94,98.29,-0.19,0
5/28/2020,98.9,99.09,98.35,98.48,-0.42,0
5/27/2020,99.01,99.34,98.71,98.9,-0.11,0
5/26/2020,99.74,99.77,98.89,99.01,-0.73,0
5/25/2020,99.8,99.97,99.68,99.74,-0.05,0
5/22/2020,99.42,99.87,99.38,99.79,0.37,0
5/21/2020,99.17,99.51,99.02,99.42,0.25,0
5/20/2020,99.55,99.56,99,99.17,-0.38,0
5/19/2020,99.62,99.73,99.23,99.55,-0.07,0
5/18/2020,100.4,100.46,99.58,99.62,-0.74,0
5/15/2020,100.27,100.48,100.08,100.36,0.09,0
5/14/2020,100.17,100.55,100.14,100.27,0.1,0
5/13/2020,100.03,100.27,99.57,100.17,0.14,0
5/12/2020,100.21,100.44,99.66,100.03,-0.18,0
5/11/2020,99.81,100.28,99.66,100.21,1.11,0
5/8/2020,99.81,99.94,99.09,99.1,-0.71,0
5/7/2020,100.19,100.4,99.8,99.81,-0.38,0
5/6/2020,99.79,100.2,99.75,100.19,0.4,0
5/5/2020,99.5,99.97,99.29,99.79,0.29,0
5/4/2020,99.1,99.59,99.08,99.5,0.82,0
5/1/2020,99.1,99.21,98.64,98.68,-0.42,0
4/30/2020,99.49,99.72,98.8,99.1,-0.39,0
4/29/2020,99.86,99.88,99.46,99.49,-0.37,0
4/28/2020,100.08,100.2,99.45,99.86,-0.22,0
4/27/2020,100.22,100.31,99.83,100.08,-0.21,0
4/24/2020,100.51,100.86,100.18,100.29,-0.22,0
4/23/2020,100.47,100.69,100.03,100.51,0.03,0
4/22/2020,100.2,100.49,99.89,100.48,0.28,0
4/21/2020,99.94,100.47,99.92,100.2,0.26,0
4/20/2020,99.73,100.07,99.65,99.94,0.23,0
4/17/2020,99.9,100.29,99.62,99.71,-0.19,0
4/16/2020,99.65,100.3,99.61,99.9,0.26,0
4/15/2020,98.84,99.97,98.81,99.64,0.8,0
4/14/2020,99.39,99.42,98.81,98.84,-0.54,0
4/13/2020,99.43,99.63,99.13,99.38,-0.1,0
4/10/2020,99.6,99.63,99.36,99.48,-0.12,0
4/9/2020,100.12,100.29,99.36,99.6,-0.52,0
4/8/2020,99.95,100.43,99.9,100.12,0.17,0
4/7/2020,100.73,100.79,99.77,99.95,-0.79,0
4/6/2020,100.69,100.93,100.47,100.74,0.06,0
4/3/2020,100.19,100.85,100.14,100.68,0.5,0
4/2/2020,99.49,100.4,99.33,100.18,0.68,0
4/1/2020,99,99.84,98.91,99.5,0.51,0
3/31/2020,99.21,99.94,98.89,98.99,-0.21,0
3/30/2020,98.45,99.31,98.28,99.2,0.9,0
3/27/2020,99.29,99.81,98.27,98.3,-0.99,0
3/26/2020,100.92,101.01,99.23,99.29,-1.62,0
3/25/2020,101.64,101.91,100.84,100.91,-0.75,0
3/24/2020,102.12,102.21,101.05,101.66,-0.45,0
3/23/2020,102.35,102.97,101.65,102.11,0.17,0
3/20/2020,102.97,102.99,101.08,101.94,-1.04,0
3/19/2020,100.78,102.98,100.77,102.98,2.07,0
3/18/2020,99.4,101.74,99.15,100.91,1.51,0
3/17/2020,98.12,99.83,97.98,99.4,1.28,0
3/16/2020,97.7,98.46,97.44,98.12,-0.57,0
3/13/2020,97.47,98.81,97.33,98.69,1.22,0
3/12/2020,96.63,98.31,96.07,97.47,0.85,0
3/11/2020,96.3,96.69,95.91,96.62,0.32,0
3/10/2020,95.4,96.58,95.22,96.3,0.91,0
3/9/2020,95.78,95.78,94.65,95.39,-0.7,0
3/6/2020,96.61,96.7,95.71,96.09,-0.5,0
3/5/2020,97.38,97.43,96.51,96.59,-0.78,0
3/4/2020,97.16,97.59,97.11,97.37,0.23,0
3/3/2020,97.56,97.69,96.97,97.14,-0.37,0
3/2/2020,97.99,98.08,97.18,97.51,-0.61,0
2/28/2020,98.42,98.65,97.96,98.12,-0.26,0
2/27/2020,99.01,99.05,98.36,98.38,-0.76,0
2/26/2020,99.08,99.26,98.91,99.14,0.15,0
2/25/2020,99.32,99.38,98.88,98.99,-0.3,0
2/24/2020,99.47,99.63,99.11,99.29,-0.04,0
2/21/2020,99.85,99.87,99.23,99.33,-0.54,0
2/20/2020,99.53,99.91,99.52,99.87,0.29,0
2/19/2020,99.43,99.72,99.37,99.58,0.14,0
2/18/2020,99.19,99.47,99.13,99.44,0.3,0
2/17/2020,99.11,99.2,99,99.14,-0.02,0
2/14/2020,99.12,99.16,98.99,99.16,0.06,0
2/13/2020,98.99,99.11,98.85,99.1,0.09,0
2/12/2020,98.76,99.05,98.7,99.01,0.27,0
2/11/2020,98.86,98.95,98.7,98.74,-0.11,0
2/10/2020,98.69,98.88,98.59,98.85,0.16,0
2/7/2020,98.45,98.71,98.41,98.69,0.22,0
2/6/2020,98.29,98.57,98.2,98.47,0.22,0
2/5/2020,97.94,98.31,97.9,98.25,0.32,0
2/4/2020,97.81,98,97.78,97.93,0.13,0
2/3/2020,97.44,97.88,97.4,97.8,0.44,0
1/31/2020,97.86,97.96,97.35,97.36,-0.5,0
1/30/2020,98.02,98.07,97.79,97.86,-0.2,0
1/29/2020,97.94,98.18,97.94,98.06,0.09,0
1/28/2020,97.95,98.15,97.9,97.97,0.04,0
1/27/2020,97.81,98,97.78,97.93,0.05,0
1/24/2020,97.71,97.94,97.66,97.88,0.2,0
1/23/2020,97.48,97.8,97.42,97.68,0.18,0
1/22/2020,97.62,97.68,97.44,97.5,-0.1,0
1/21/2020,97.63,97.65,97.39,97.6,-0.01,0
1/20/2020,97.63,97.72,97.57,97.61,-0.02,0
1/17/2020,97.3,97.65,97.26,97.63,0.33,0
1/16/2020,97.18,97.36,97.08,97.3,0.1,0
1/15/2020,97.37,97.44,97.15,97.2,-0.18,0
1/14/2020,97.36,97.56,97.32,97.38,0.01,0
1/13/2020,97.41,97.53,97.3,97.37,0.03,0
1/10/2020,97.43,97.58,97.29,97.34,-0.07,0
1/9/2020,97.27,97.55,97.24,97.41,0.1,0
1/8/2020,96.82,97.35,96.81,97.31,0.35,0
1/7/2020,96.65,97.09,96.62,96.96,0.34,0
1/6/2020,96.84,96.89,96.54,96.62,-0.27,0
1/3/2020,96.78,97.1,96.71,96.89,0.1,0
1/2/2020,96.47,96.87,96.42,96.79,0.27,0
Downloaded from Barchart.com as of 09-16-2020 07:03pm CDT,,,,,,
